ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,llm_action,llm_conviction,llm_reason
ZUMZ,Zumiez Inc.,2023-06-06,2023-06-05,2023-06-05,1163500,2,287.0,$200M-$500M,True,False,16.639999389648438,-9.8,-12.5,0.3,2023-06-13,2023-06-16,2023-07-06,False,,SKIP,2,"Sub-$500M cap and within 15% of 52-week low both align with empirically underperforming buckets, outweighing the otherwise clean 2-insider material cluster."
NEWT,"NewtekOne, Inc.",2023-03-23,2023-03-20,2023-03-23,614748,2,240.7,$200M-$500M,True,False,10.274039268493652,4.08,-0.76,-5.3,2023-03-30,2023-04-03,2023-04-24,False,,SKIP,2,"Sub-$500M cap and near-52-week-low both flag empirical underperformance, and a 2-insider $614K cluster isn't large enough to override those structural headwinds."
AENT,Alliance Entertainment Holding Corporation,2023-07-05,2023-06-30,2023-06-30,999600,4,293.7,$200M-$500M,True,False,2.4100000858306885,-4.56,0.0,-14.94,2023-07-12,2023-07-17,2023-08-04,False,,DISQUALIFY,1,"Signal hits all three empirical anti-patterns simultaneously: near 52-week low, 4-insider cluster (3+ underperforms), and sub-$500M cap — the 2023 backtest prior strongly predicts underperformance."
GCO,Genesco Inc.,2023-06-13,2023-06-05,2023-06-09,565894,2,273.1,$200M-$500M,False,False,21.950000762939453,7.56,9.02,18.45,2023-06-20,2023-06-23,2023-07-13,False,,SKIP,2,"Sub-$500M cap and only 2 insiders for $566K is borderline material, but the empirical prior penalizes small-cap clusters across all windows and nothing here offsets that base-rate disadvantage."
NMRA,"Neumora Therapeutics, Inc.",2023-09-29,2023-09-19,2023-09-29,3063747,2,2144.0,$500M-$5B,False,False,11.010000228881836,10.26,8.45,-0.36,2023-10-06,2023-10-09,2023-10-30,False,,ACT,3,"Two-insider cluster in the favorable $500M-$5B band, not near 52-week low, with material ~$3M dollar size — matches the empirically outperforming profile from the 2023 prior."
ASLE,AerSale Corporation,2023-08-21,2023-08-11,2023-08-18,2206555,2,648.8,$500M-$5B,False,False,13.859999656677246,3.25,6.85,10.53,2023-08-28,2023-08-31,2023-09-20,False,,ACT,3,"2-insider cluster at $649M cap with $2.2M purchased and not near 52w-low aligns with the empirical priors for the better-performing cohort, though absent further neglect/catalyst confirmation convicti"
LNKB,"LINKBANCORP, Inc.",2023-02-23,2023-02-21,2023-02-21,8600015,3,258.4,$200M-$500M,True,True,6.957695960998535,1.07,-0.57,-16.93,2023-03-02,2023-03-06,2023-03-27,False,,DISQUALIFY,1,"Signal hits all three negative priors simultaneously — near 52-week low, 3+ insider cluster, and sub-$500M cap — which the 2023 backtest shows compound into structural underperformance rather than con"
RILY,"BRC Group Holdings, Inc.",2023-02-09,2023-02-08,2023-02-09,6743112,3,959.9,$500M-$5B,False,False,34.8090705871582,7.68,-0.37,-24.59,2023-02-16,2023-02-21,2023-03-13,False,,SKIP,2,3-insider cluster in the empirically-underperforming bucket (-10.6% at 30d) outweighs the favorable mid-cap and not-near-low attributes.
RILY,"BRC Group Holdings, Inc.",2023-02-27,2023-02-09,2023-02-23,875891,2,949.8,$500M-$5B,False,False,33.95547866821289,0.98,-6.06,-25.5,2023-03-06,2023-03-09,2023-03-29,False,,ACT,3,"Two-insider cluster in the favored $500M-$5B cap range, not near 52-week low, with material $876K dollar size — matches the empirically outperforming profile from the 2023 backtest."
RILY,"BRC Group Holdings, Inc.",2023-03-07,2023-02-23,2023-03-07,1344029,3,1000.9,$500M-$5B,False,False,34.390811920166016,-19.19,-24.2,-35.68,2023-03-14,2023-03-17,2023-04-06,False,,SKIP,2,"3-insider cluster in the underperforming bucket per the 2023 prior, and despite a healthy $1.34M size and in-range market cap, the larger-cluster effect plus no other confirming neglect edge makes thi"
RILY,"BRC Group Holdings, Inc.",2023-03-14,2023-02-24,2023-03-10,1141801,2,792.7,$500M-$5B,True,False,27.064489364624023,1.58,-12.81,-10.67,2023-03-21,2023-03-24,2023-04-13,False,,SKIP,2,"Near-52-week-low flag triggers the empirically validated underperformance prior (-2.71%/-3.70% at 7d/10d), and only 2 insiders with $1.14M total is modest signal strength insufficient to override the "
RILY,"BRC Group Holdings, Inc.",2023-03-20,2023-03-07,2023-03-17,3028261,5,757.2,$500M-$5B,True,False,27.493389129638672,-9.81,-9.61,0.57,2023-03-27,2023-03-30,2023-04-19,False,,SKIP,2,Two empirical anti-signals stack here — 5-insider cluster (3+ underperforms -10.6% at 30d) and within 15% of 52-week low (underperforms -2.71%/-3.70% at 7d/10d) — overriding the otherwise material $3M
RILY,"BRC Group Holdings, Inc.",2023-07-27,2023-07-25,2023-07-26,9499930,4,1424.5,$500M-$5B,False,False,50.35811996459961,-5.69,-0.91,-10.67,2023-08-03,2023-08-07,2023-08-28,False,,SKIP,2,"4-insider cluster at $1.4B cap fits the cap range but triggers the 3+-insider underperformance prior, and without a 52w-low discount or other confirming neglect signal there's no offsetting edge."
RILY,"BRC Group Holdings, Inc.",2023-11-17,2023-11-10,2023-11-17,1802743,4,643.8,$500M-$5B,True,False,23.99477195739746,-15.96,-23.1,-13.92,2023-11-24,2023-11-27,2023-12-18,False,,DISQUALIFY,1,"Two structurally negative priors stack here — near 52-week low (catching a falling knife at 7d/10d) and a 4-insider cluster (3+ clusters underperform 2-insider ones at 30d, suggesting panic-buying rat"
FLWS,"1-800-FLOWERS.COM, Inc.",2023-09-11,2023-09-07,2023-09-07,342450,2,459.2,$200M-$500M,False,False,7.139999866485596,-3.64,-10.36,-1.68,2023-09-18,2023-09-21,2023-10-11,False,,SKIP,2,"Sub-$500M cap ($459M) places this in the underperforming bucket per the 2023 prior, and a 2-insider/$342K cluster on a single day lacks the materiality to override that structural headwind."
