ticker,company_name,signal_date,cluster_start,cluster_end,total_usd,unique_insiders,market_cap_m,mcap_band,near_52w_low,shares_approximate,entry_price,outcome_7d,outcome_10d,outcome_30d,outcome_7d_date,outcome_10d_date,outcome_30d_date,delisted_or_acquired,notes,llm_action,llm_conviction,llm_reason
ZUMZ,Zumiez Inc.,2023-06-06,2023-06-05,2023-06-05,1163500,2,287.0,$200M-$500M,True,False,16.639999389648438,-9.8,-12.5,0.3,2023-06-13,2023-06-16,2023-07-06,False,,SKIP,3,"Only 2 insiders with a single-day cluster at a $287M neglected name is a borderline-material signal, and per the 2026-05-08 backtest finding the 'within 15% of 52-week low' flag no longer supports sco"
NEWT,"NewtekOne, Inc.",2023-03-23,2023-03-20,2023-03-23,614748,2,240.7,$200M-$500M,True,False,10.274039268493652,4.08,-0.76,-5.3,2023-03-30,2023-04-03,2023-04-24,False,,SKIP,3,Only 2 insiders at the minimum cluster threshold with $241M cap and near-low flag now removed from scoring per 2023 backtest; material dollar amount but lacks the conviction depth (3+ insiders) needed
AENT,Alliance Entertainment Holding Corporation,2023-07-05,2023-06-30,2023-06-30,999600,4,293.7,$200M-$500M,True,False,2.4100000858306885,-4.56,0.0,-14.94,2023-07-12,2023-07-17,2023-08-04,False,,ACT,4,"Four unique insiders buying ~$1M in a single-day cluster at a $294M neglected micro-cap near 52-week lows is a materially strong, concentrated signal of perceived undervaluation."
GCO,Genesco Inc.,2023-06-13,2023-06-05,2023-06-09,565894,2,273.1,$200M-$500M,False,False,21.950000762939453,7.56,9.02,18.45,2023-06-20,2023-06-23,2023-07-13,False,,SKIP,2,"Only 2 insiders meets the bare minimum cluster threshold and the name is not near 52-week lows, so the signal lacks the conviction depth and valuation backdrop typical of high-edge insider clusters at"
NMRA,"Neumora Therapeutics, Inc.",2023-09-29,2023-09-19,2023-09-29,3063747,2,2144.0,$500M-$5B,False,False,11.010000228881836,10.26,8.45,-0.36,2023-10-06,2023-10-09,2023-10-30,False,,SKIP,2,"Only 2 insiders meets the bare minimum cluster threshold and the stock is not near its 52-week low, suggesting the buying isn't capturing deep undervaluation despite a material dollar amount."
ASLE,AerSale Corporation,2023-08-21,2023-08-11,2023-08-18,2206555,2,648.8,$500M-$5B,False,False,13.859999656677246,3.25,6.85,10.53,2023-08-28,2023-08-31,2023-09-20,False,,ACT,3,"Material $2.2M cluster from 2 insiders at a $649M neglected small-cap meets the primary catalyst threshold, though only 2 buyers (vs 3+) and absence of the near-52w-low context tempers conviction to m"
LNKB,"LINKBANCORP, Inc.",2023-02-23,2023-02-21,2023-02-21,8600015,3,258.4,$200M-$500M,True,True,6.957695960998535,1.07,-0.57,-16.93,2023-03-02,2023-03-06,2023-03-27,False,,ACT,4,"Three insiders deploying $8.6M in a single-day cluster on a $258M neglected bank near 52-week lows is a materially large, high-credibility signal relative to float."
RILY,"BRC Group Holdings, Inc.",2023-02-09,2023-02-08,2023-02-09,6743112,3,959.9,$500M-$5B,False,False,34.8090705871582,7.68,-0.37,-24.59,2023-02-16,2023-02-21,2023-03-13,False,,ACT,4,Three insiders deploying $6.7M in a tight 2-day window at a $960M cap is a materially large cluster signaling strong management conviction in undervaluation.
RILY,"BRC Group Holdings, Inc.",2023-02-27,2023-02-09,2023-02-23,875891,2,949.8,$500M-$5B,False,False,33.95547866821289,0.98,-6.06,-25.5,2023-03-06,2023-03-09,2023-03-29,False,,SKIP,2,"Only 2 insiders meets the minimum cluster threshold and dollar size is modest relative to a $950M cap, with no near-52w-low support and no confirming neglect data provided to justify conviction."
RILY,"BRC Group Holdings, Inc.",2023-03-07,2023-02-23,2023-03-07,1344029,3,1000.9,$500M-$5B,False,False,34.390811920166016,-19.19,-24.2,-35.68,2023-03-14,2023-03-17,2023-04-06,False,,SKIP,2,"Three insiders and $1.34M is a credible cluster, but RILY at ~$1B cap is a heavily-covered, news-saturated name (B. Riley is itself a broker-dealer/IB) — fails the neglect screen since the market is a"
RILY,"BRC Group Holdings, Inc.",2023-03-14,2023-02-24,2023-03-10,1141801,2,792.7,$500M-$5B,True,False,27.064489364624023,1.58,-12.81,-10.67,2023-03-21,2023-03-24,2023-04-13,False,,SKIP,2,Only 2 insiders at $1.14M total in a $793M-cap name with RILY's high analyst coverage and constant news flow makes this a non-neglected signal where the cluster is immaterial vs float and unlikely to 
RILY,"BRC Group Holdings, Inc.",2023-03-20,2023-03-07,2023-03-17,3028261,5,757.2,$500M-$5B,True,False,27.493389129638672,-9.81,-9.61,0.57,2023-03-27,2023-03-30,2023-04-19,False,,SKIP,2,"5-insider cluster at $3M is materially sized but RILY is a well-covered mid-cap broker-dealer with active news flow, failing the neglect screen, and the near-52w-low context is a documented underperfo"
RILY,"BRC Group Holdings, Inc.",2023-07-27,2023-07-25,2023-07-26,9499930,4,1424.5,$500M-$5B,False,False,50.35811996459961,-5.69,-0.91,-10.67,2023-08-03,2023-08-07,2023-08-28,False,,SKIP,2,"RILY (B. Riley Financial) at $1.4B is a well-covered diversified financial services firm rather than a neglected name, and despite a material 4-insider $9.5M cluster the signal is unlikely to be unpri"
RILY,"BRC Group Holdings, Inc.",2023-11-17,2023-11-10,2023-11-17,1802743,4,643.8,$500M-$5B,True,False,23.99477195739746,-15.96,-23.1,-13.92,2023-11-24,2023-11-27,2023-12-18,False,,SKIP,2,"4 insiders and $1.8M is a material cluster, but RILY is a heavily-covered, high-news financial-services name that fails the neglect screen, and the near-52w-low context is a red flag per the 2023 back"
FLWS,"1-800-FLOWERS.COM, Inc.",2023-09-11,2023-09-07,2023-09-07,342450,2,459.2,$200M-$500M,False,False,7.139999866485596,-3.64,-10.36,-1.68,2023-09-18,2023-09-21,2023-10-11,False,,SKIP,2,"Cluster is minimum-bar (2 insiders, single-day, $342K) at a $459M consumer-discretionary name with broad analyst coverage, so the signal lacks the size and neglect needed to be high-conviction."
